"AreaTitle	AmphoraIdentifier	AmphoricTypeTitle	SimplifiedTranscription	FullTranscription	FindingPlaceLongitude	FindingPlaceLatitude	FindingPlaceTitle	ProductionDateStartYear	ProductionDateEndYear	InscriptionTypeTitle"
"Roma	48652	Dressel 20	V {5}	V	12.483333	41.9	N9 190-220	220	224	Sketch"
"Roma	48653	Dressel 20	IIIIIII {6}	IIIIII	12.483333	41.9	N1 90-110	220	224	Sketch"
"Roma	48654	Dressel 20	VII {7}	VII	12.483333	41.9	N10 260-280	220	224	Sketch"
"Roma	48655	Dressel 20	X {10}	X	12.483333	41.9	N1 110-120	220	224	Sketch"
"Roma	48656	Dressel 20	X {10}	X	12.483333	41.9	S10 80-100	220	224	Sketch"
"Roma	48657	Dressel 20	X {10}	X	12.483333	41.9	S11 80-100	220	224	Sketch"
"Roma	48658	Dressel 20	X {10}	X	12.483333	41.9	S9 120-140	220	224	Sketch"
"Roma	48659	Dressel 20	X {10}	X	12.483333	41.9	N9 0-40	220	224	Sketch"
"Roma	48660	Dressel 20	X {10}	X	12.483333	41.9	N9 120-150	220	224	Sketch"
"Roma	48661	Dressel 20	X {10}	X	12.483333	41.9	N10 150-170	220	224	Sketch"
"Roma	48662	Dressel 20	X {10}	X	12.483333	41.9	N11 150-170	220	224	Sketch"
"Roma	48663	Dressel 20	X {10}	X	12.483333	41.9	N9 170-190	220	224	Sketch"
"Roma	48664	Dressel 20	X {10}	X	12.483333	41.9	N10 240-260	220	224	Sketch"
"Roma	48665	Dressel 20	X {10}	X	12.483333	41.9	N10 240-260	220	224	Sketch"
"Roma	48666	Dressel 20	X {10}	X	12.483333	41.9	N11 260-280	220	224	Sketch"
"Roma	48667	Dressel 20	X {10}	X	12.483333	41.9	S10 280-300	220	224	Sketch"
"Roma	48668	Dressel 20	X {10}	X	12.483333	41.9	N11 280-300	220	224	Sketch"
"Roma	48669	Dressel 20	X {10}	X	12.483333	41.9	N11 300-320	220	224	Sketch"
"Roma	48670	Dressel 20	X {10}	X	12.483333	41.9	N7 30-50	160	160	Sketch"
"Roma	48671	Dressel 20	X {10}	X	12.483333	41.9	S8 70-90	160	160	Sketch"
"Roma	48672	Dressel 20	X {10}	X	12.483333	41.9	N7 130-150	160	160	Sketch"
"Roma	48673	Dressel 20	X {10}	X	12.483333	41.9	S7 150-170	160	160	Sketch"
"Roma	48674	Dressel 20	IXX {19} & XXI {21}	IXX & XXI	12.483333	41.9	S1-2 30-50	220	224	Sketch"
"Roma	48675	Dressel 20	XX {20}	XX	12.483333	41.9	N-S1-2 60-66	220	224	Sketch"
"Roma	48676	Dressel 20	XX {20}	XX	12.483333	41.9	N-S11 230-260	220	224	Sketch"
"Roma	48677	Dressel 20	XXX {30}	XXX	12.483333	41.9	S8 70-90	160	160	Sketch"
"Roma	48678	Dressel 20	XXXX {40}	XXXX	12.483333	41.9	S10 80-100	220	224	Sketch"
"Roma	48679	Dressel 20	C {100}	C	12.483333	41.9	N9 0-40	220	224	Sketch"
"Roma	48680	Dressel 20	B	B	12.483333	41.9	N2 90-120	220	224	Sketch"
"Roma	48681	Dressel 20	M[T]?	M[T]?	12.483333	41.9	S2 120-140	220	224	Sketch"
"Roma	48682	Dressel 20	((PALMA))	((palma))	12.483333	41.9	S2 120-140	220	224	Sketch"
"Roma	48683	Dressel 20	((CIRCULUS))	((circulus))	12.483333	41.9	S11 260-280	220	224	Sketch"
"Roma	48684	Dressel 20	ilegibile	ilegibile	12.483333	41.9	D3	220	224	Sketch"
"Roma	48685	Dressel 20	ilegibile	ilegibile	12.483333	41.9	N-S1-2	220	224	Sketch"
"Roma	48686	Dressel 20	ilegibile	ilegibile	12.483333	41.9	S10 160-180	220	224	Sketch"
"Roma	48687	Dressel 20	ilegibile	ilegibile	12.483333	41.9	S10 180-200	220	224	Sketch"
"Roma	48688	Dressel 20	ilegibile	ilegibile	12.483333	41.9	N8 70-90	160	160	Sketch"
"Roma	48689	Dressel 20	ilegibile	ilegibile	12.483333	41.9	N8 70-90	160	160	Sketch"
"Roma	48690	Dressel 20	ilegibile	ilegibile	12.483333	41.9	N8 90-110	160	160	Sketch"
"Roma	48691	Dressel 20	I {1}	I	12.483333	41.9	N-S1-2 50-60	220	224	Sketch"
"Roma	48692	Dressel 20	I {1}	I	12.483333	41.9	S10 180-200	220	224	Sketch"
"Roma	48693	Dressel 20	I {1}	I	12.483333	41.9	N11 250-280	220	224	Sketch"
"Roma	48694	Dressel 20	I {1}	I	12.483333	41.9	N11 40-60	220	224	Sketch"
"Roma	48695	Dressel 20	I {1}	I	12.483333	41.9	N11 100-120	220	224	Sketch"
"Roma	48696	Dressel 20	I {1}	I	12.483333	41.9	N11 100-120	220	224	Sketch"
"Roma	48697	Dressel 20	I {1}	I	12.483333	41.9	N10 100/120	220	224	Sketch"
"Roma	48698	Dressel 20	I {1}	I	12.483333	41.9	N11 120-150	220	224	Sketch"
"Roma	48699	Dressel 20	I {1}	I	12.483333	41.9	N11 240-260	220	224	Sketch"
"Roma	48700	Dressel 20	I {1}	I	12.483333	41.9	S8 110-130	160	160	Sketch"
"Roma	48701	Dressel 20	II {2}	II	12.483333	41.9	S10 180-200	220	224	Sketch"
"Roma	48702	Dressel 20	II {2}	II	12.483333	41.9	Anfora IC	220	224	Sketch"
"Roma	48703	Dressel 20	III {3}	III	12.483333	41.9	N7 70-90	160	160	Sketch"
"Roma	48704	Dressel 20	V & IIIII {5}	V & IIIII	12.483333	41.9	D5	220	224	Sketch"
"Roma	48705	Dressel 20	V & IIIII {5}	V & IIIII	12.483333	41.9	N10 80-100	220	224	Sketch"
"Roma	48706	Dressel 20	V & IIIII {5}	V & IIIII	12.483333	41.9	N9 80-100	220	224	Sketch"
"Roma	48707	Dressel 20	V & IIIII {5}	V & IIIII	12.483333	41.9	N10 120-150	220	224	Sketch"
"Roma	48708	Dressel 20	V & IIIII {5}	V & IIIII	12.483333	41.9	N 9 150-170	220	224	Sketch"
"Roma	48709	Dressel 20	V & IIIII {5}	V & IIIII	12.483333	41.9	S7 50-70	160	160	Sketch"
"Roma	48710	Dressel 20	V & IIIII {5}	V & IIIII	12.483333	41.9	N8 50-70	160	160	Sketch"
"Roma	48711	Dressel 20	V & IIIII {5}	V & IIIII	12.483333	41.9	N8 50-70	160	160	Sketch"
"Roma	48712	Dressel 20	V & IIIII {5}	V & IIIII	12.483333	41.9	N7 70-90	160	160	Sketch"
"Roma	48713	Dressel 20	V & IIIII {5}	V & IIIII	12.483333	41.9	N7 130-150	160	160	Sketch"
"Roma	48714	Dressel 20	V & IIIII {5}	V & IIIII	12.483333	41.9	S7 150-170	160	160	Sketch"
"Roma	48715	Dressel 20	X {10}	X	12.483333	41.9	N-S1-2 66-90	220	224	Sketch"
"Roma	48716	Dressel 20	X {10}	X	12.483333	41.9	S9 30-40	220	224	Sketch"
"Roma	48717	Dressel 20	X {10}	X	12.483333	41.9	N1 90-110	220	224	Sketch"
"Roma	48718	Dressel 20	X {10}	X	12.483333	41.9	S1 90-11	220	224	Sketch"
"Roma	48719	Dressel 20	X {10}	X	12.483333	41.9	S1 90-110	220	224	Sketch"
"Roma	48720	Dressel 20	X {10}	X	12.483333	41.9	N1 120	220	224	Sketch"
"Roma	48721	Dressel 20	X {10}	X	12.483333	41.9	S1 120	220	224	Sketch"
"Roma	48722	Dressel 20	X {10}	X	12.483333	41.9	S10 -80 R O	220	224	Sketch"
"Roma	48723	Dressel 20	X {10}	X	12.483333	41.9	S11 80-100	220	224	Sketch"
"Roma	48724	Dressel 20	X {10}	X	12.483333	41.9	S11 160-180	220	224	Sketch"
"Roma	48725	Dressel 20	X {10}	X	12.483333	41.9	S10 180-200	220	224	Sketch"
"Roma	48726	Dressel 20	X {10}	X	12.483333	41.9	S10 180-200	220	224	Sketch"
"Roma	48727	Dressel 20	X {10}	X	12.483333	41.9	S10 180-200	220	224	Sketch"
"Roma	48728	Dressel 20	X {10}	X	12.483333	41.9	S11 180-200	220	224	Sketch"
"Roma	48729	Dressel 20	X {10}	X	12.483333	41.9	S11 200-230	220	224	Sketch"
"Roma	48730	Dressel 20	X {10}	X	12.483333	41.9	S11 260-290	220	224	Sketch"
"Roma	48731	Dressel 20	X {10}	X	12.483333	41.9	N10 60-80	220	224	Sketch"
"Roma	48732	Dressel 20	X {10}	X	12.483333	41.9	N11 170-190	220	224	Sketch"
"Roma	48733	Dressel 20	X {10}	X	12.483333	41.9	N11 190-220	220	224	Sketch"
"Roma	48734	Dressel 20	X {10}	X	12.483333	41.9	N11 300-320	220	224	Sketch"
"Roma	48735	Dressel 20	X {10}	X	12.483333	41.9	S11 320-340	220	224	Sketch"
"Roma	48736	Dressel 20	X {10}	X	12.483333	41.9	S7 50-70	160	160	Sketch"
"Roma	48737	Dressel 20	X {10}	X	12.483333	41.9	S8 50-70	160	160	Sketch"
"Roma	48738	Dressel 20	X {10}	X	12.483333	41.9	S8 50-70	160	160	Sketch"
"Roma	48739	Dressel 20	X {10}	X	12.483333	41.9	S8 50-70	160	160	Sketch"
"Roma	48740	Dressel 20	X {10}	X	12.483333	41.9	S8 50-70	160	160	Sketch"
"Roma	48741	Dressel 20	X {10}	X	12.483333	41.9	S8 50-70	160	160	Sketch"
"Roma	48742	Dressel 20	X {10}	X	12.483333	41.9	N8 70-90	160	160	Sketch"
"Roma	48743	Dressel 20	X {10}	X	12.483333	41.9	S8 90-100	160	160	Sketch"
"Roma	48744	Dressel 20	X {10}	X	12.483333	41.9	S8 110-130	160	160	Sketch"
"Roma	48745	Dressel 20	X {10}	X	12.483333	41.9	S8 130-150	160	160	Sketch"
"Roma	48746	Dressel 20	X {10}	X	12.483333	41.9	S7 150-170	160	160	Sketch"
"Roma	48747	Dressel 20	X {10}	X	12.483333	41.9	N7 150-170	160	160	Sketch"
"Roma	48748	Dressel 20	X {10}	X	12.483333	41.9	N7 170-190	160	160	Sketch"
"Roma	48749	Dressel 20	XI {11}	XI	12.483333	41.9	N11 40-60	220	224	Sketch"
"Roma	48750	Dressel 20	XII {12}	XII	12.483333	41.9	N2 120-140	220	224	Sketch"
"Roma	48751	Dressel 20	XV {15}	XV	12.483333	41.9	N11 40-60	220	224	Sketch"
"Roma	48752	Dressel 20	XV {15}	XV	12.483333	41.9	N9 80-100	220	224	Sketch"
"Roma	48753	Dressel 20	XX {20}	XX	12.483333	41.9	N-S1-2 66-90	220	224	Sketch"
"Roma	48754	Dressel 20	XX {20}	XX	12.483333	41.9	S10 30-40	220	224	Sketch"
"Roma	48755	Dressel 20	XX {20}	XX	12.483333	41.9	S1 110-120	220	224	Sketch"
"Roma	48756	Dressel 20	XX {20}	XX	12.483333	41.9	S1 120	220	224	Sketch"
"Roma	48757	Dressel 20	XX {20}	XX	12.483333	41.9	N2 120-140	220	224	Sketch"
"Roma	48758	Dressel 20	XX {20}	XX	12.483333	41.9	S9 140-160	220	224	Sketch"
"Roma	48759	Dressel 20	XX {20}	XX	12.483333	41.9	S10 140-160	220	224	Sketch"
"Roma	48760	Dressel 20	XX {20}	XX	12.483333	41.9	S11 260-290	220	224	Sketch"
"Roma	48761	Dressel 20	XX {20}	XX	12.483333	41.9	N10 60-80	220	224	Sketch"
"Roma	48762	Dressel 20	XX {20}	XX	12.483333	41.9	N10 120-150	220	224	Sketch"
"Roma	48763	Dressel 20	XX {20}	XX	12.483333	41.9	N9 190-220	220	224	Sketch"
"Roma	48764	Dressel 20	XX {20}	XX	12.483333	41.9	S11 240-260	220	224	Sketch"
"Roma	48765	Dressel 20	XX {20}	XX	12.483333	41.9	S11 260-280	220	224	Sketch"
"Roma	48766	Dressel 20	XX {20}	XX	12.483333	41.9	N11 260-280	220	224	Sketch"
"Roma	48767	Dressel 20	XX {20}	XX	12.483333	41.9	S7 90-110	160	160	Sketch"
"Roma	48768	Dressel 20	XX {20}	XX	12.483333	41.9	S8 130-150	160	160	Sketch"
"Roma	48769	Dressel 20	XX {20}	XX	12.483333	41.9	S8 130-150	160	160	Sketch"
"Roma	48770	Dressel 20	XXI {21}	XXI	12.483333	41.9	N7 90-110	160	160	Sketch"
"Roma	48771	Dressel 20	XXI {21}	XXI	12.483333	41.9	N8 150-170	160	160	Sketch"
"Roma	48772	Dressel 20	XXX {30}	XXX	12.483333	41.9	N-S1-2 66-90	220	224	Sketch"
"Roma	48773	Dressel 20	XXX {30}	XXX	12.483333	41.9	N1 -130	220	224	Sketch"
"Roma	48774	Dressel 20	XXX {30}	XXX	12.483333	41.9	S9 80-90(2)	220	224	Sketch"
"Roma	48775	Dressel 20	XXX {30}	XXX	12.483333	41.9	S10 140-160	220	224	Sketch"
"Roma	48776	Dressel 20	XXX {30}	XXX	12.483333	41.9	S11 200-230	220	224	Sketch"
"Roma	48777	Dressel 20	XXX {30}	XXX	12.483333	41.9	S11 200-230	220	224	Sketch"
"Roma	48778	Dressel 20	XXX {30}	XXX	12.483333	41.9	N11 40-60	220	224	Sketch"
"Roma	48779	Dressel 20	XXX {30}	XXX	12.483333	41.9	N10 150-170	220	224	Sketch"
"Roma	48780	Dressel 20	XXX {30}	XXX	12.483333	41.9	S7 70-90	160	160	Sketch"
"Roma	48781	Dressel 20	XXX {30}	XXX	12.483333	41.9	N7 110-130	160	160	Sketch"
"Roma	48782	Dressel 20	C {100}	C	12.483333	41.9	N9 60-80	220	224	Sketch"
"Roma	48783	Dressel 20	C {100}	C	12.483333	41.9	N8 30-50	160	160	Sketch"
"Roma	48784	Dressel 20	C {100}	C	12.483333	41.9	S8 130-150	160	160	Sketch"
"Roma	48785	Dressel 20	C... {+100}	C+	12.483333	41.9	N10 60-80	220	224	Sketch"
"Roma	48786	Dressel 20	C... {+100}	C+	12.483333	41.9	N10 80-100	220	224	Sketch"
"Roma	48787	Dressel 20	C... {+100}	C+	12.483333	41.9	N9 120-150	220	224	Sketch"
"Roma	48788	Dressel 20	C... {+100}	C+	12.483333	41.9	N9 150-170	220	224	Sketch"
"Roma	48789	Dressel 20	C... {+100}	C+	12.483333	41.9	N10 170-190	220	224	Sketch"
"Roma	48790	Dressel 20	C... {+100}	C+	12.483333	41.9	N11 190-220	220	224	Sketch"
"Roma	48791	Dressel 20	CII {102}	CII	12.483333	41.9	S10 120-140	220	224	Sketch"
"Roma	48792	Dressel 20	CII {102}	CII	12.483333	41.9	N11 190-220	220	224	Sketch"
"Roma	48793	Dressel 20	CII {102}	CII	12.483333	41.9	S9 240-260	220	224	Sketch"
"Roma	48794	Dressel 20	CX {110}	CX	12.483333	41.9	S9 160-180	220	224	Sketch"
"Roma	48795	Dressel 20	CX {110}	CX	12.483333	41.9	S10 180-200	220	224	Sketch"
"Roma	48796	Dressel 20	CX {110}	CX	12.483333	41.9	S11 180-200	220	224	Sketch"
"Roma	48797	Dressel 20	CX {110}	CX	12.483333	41.9	S11 260-290	220	224	Sketch"
"Roma	48798	Dressel 20	CX {110}	CX	12.483333	41.9	N10 60-80	220	224	Sketch"
"Roma	48799	Dressel 20	CX {110}	CX	12.483333	41.9	N10 100-120	220	224	Sketch"
"Roma	48800	Dressel 20	CX {110}	CX	12.483333	41.9	N10 170-190	220	224	Sketch"
"Roma	48801	Dressel 20	CX {110}	CX	12.483333	41.9	N8 50-70	160	160	Sketch"
"Roma	48802	Dressel 20	CX {110}	CX	12.483333	41.9	S7 130-150	160	160	Sketch"
"Roma	48803	Dressel 20	CXV {115}	CXV	12.483333	41.9	S10 280-300	220	224	Sketch"
"Roma	48804	Dressel 20	CXX {120}	CXX	12.483333	41.9	S9 160-180	220	224	Sketch"
"Roma	48805	Dressel 20	CXX {120}	CXX	12.483333	41.9	S7 110-130	160	160	Sketch"
"Roma	48806	Dressel 20	CXX {120}	CXX	12.483333	41.9	S8 150-180	160	160	Sketch"
"Roma	48807	Dressel 20	B	B	12.483333	41.9	G6-7	220	224	Sketch"
"Roma	48808	Dressel 20	B	B	12.483333	41.9	N1 -120	220	224	Sketch"
"Roma	48809	Dressel 20	B	B	12.483333	41.9	S10 140-160	220	224	Sketch"
"Roma	48810	Dressel 20	B	B	12.483333	41.9	N10 150-170	220	224	Sketch"
"Roma	48811	Dressel 20	B	B	12.483333	41.9	N9 170-190	220	224	Sketch"
"Roma	48812	Dressel 20	B	B	12.483333	41.9	N11 190-220	220	224	Sketch"
"Roma	48813	Dressel 20	B	B	12.483333	41.9	N10 220-240	220	224	Sketch"
"Roma	48814	Dressel 20	B	B	12.483333	41.9	N10 220-240	220	224	Sketch"
"Roma	48815	Dressel 20	B	B	12.483333	41.9	N11 260-280	220	224	Sketch"
"Roma	48816	Dressel 20	B	B	12.483333	41.9	S11 320-340	220	224	Sketch"
"Roma	48817	Dressel 20	B	B	12.483333	41.9	S7 90-110	160	160	Sketch"
"Roma	48818	Dressel 20	B	B	12.483333	41.9	N8 110-130	160	160	Sketch"
"Roma	48819	Dressel 20	B	B	12.483333	41.9	N8 150-170	160	160	Sketch"
"Roma	48820	Dressel 20	R	R	12.483333	41.9	E-F 7-8	220	224	Sketch"
"Roma	48821	Dressel 20	R	R	12.483333	41.9	S9 30-40	220	224	Sketch"
"Roma	48822	Dressel 20	R	R	12.483333	41.9	S1 -120	220	224	Sketch"
"Roma	48823	Dressel 20	R	R	12.483333	41.9	N1 -130	220	224	Sketch"
"Roma	48824	Dressel 20	R	R	12.483333	41.9	S1 -130	220	224	Sketch"
"Roma	48825	Dressel 20	R	R	12.483333	41.9	N2 120-140	220	224	Sketch"
"Roma	48826	Dressel 20	R	R	12.483333	41.9	S10 180-200	220	224	Sketch"
"Roma	48827	Dressel 20	R	R	12.483333	41.9	N9 80-100	220	224	Sketch"
"Roma	48828	Dressel 20	R	R	12.483333	41.9	N10 150-170	220	224	Sketch"
"Roma	48829	Dressel 20	R	R	12.483333	41.9	N11 170-190	220	224	Sketch"
"Roma	48830	Dressel 20	R	R	12.483333	41.9	N7 150-170	160	160	Sketch"
"Roma	48831	Dressel 20	ilegibile	ilegibile	12.483333	41.9	S11 -80 R O	220	224	Sketch"
"Roma	48832	Dressel 20	VITALIS	VITALIS	12.483333	41.9	N10 60-80	220	224	Sketch"
"Roma	48833	Dressel 20	VITALIS	VITALIS	12.483333	41.9	N9 100-120	220	224	Sketch"
"Roma	48834	Dressel 20	VITALIS	VITALIS	12.483333	41.9	N10 120-150	220	224	Sketch"
"Roma	48835	Dressel 20	INDUS	INDUS	12.483333	41.9	N11 100-120	220	224	Sketch"
"Roma	48836	Dressel 20	ilegibile	ilegibile	12.483333	41.9	N11 150-170	220	224	Sketch"
"Roma	48837	Dressel 20	IVST[...	IVST[...	12.483333	41.9	N11 240-260	220	224	Sketch"
"Roma	48838	Dressel 20	ilegibile	ilegibile	12.483333	41.9	N11 240-260	220	224	Sketch"
"Roma	48839	Dressel 20	ilegibile	ilegibile	12.483333	41.9	N11 240-260	220	224	Sketch"
"Roma	48840	Dressel 20	CON[...	CON[...	12.483333	41.9	S10 60-80	220	224	Sketch"
"Roma	48841	Dressel 20	ilegibile	ilegibile	12.483333	41.9	N8 50-70	160	160	Sketch"
"Roma	48842	Dressel 20	MARTINI	MARTINI	12.483333	41.9	N8 90-110	160	160	Sketch"
"Roma	48843	Dressel 20	QUINT	QUINT	12.483333	41.9	S8 90-110	160	160	Sketch"
"Roma	48844	Dressel 20	ilegibile	ilegibile	12.483333	41.9	N7 110-130	160	160	Sketch"
"Roma	48845	Dressel 20	SO...	SO...	12.483333	41.9	N7 150-170	160	160	Sketch"
"Roma	48846	Dressel 20	?????	?????	12.483333	41.9	N8 150-170	160	160	Sketch"
"Roma	48847	Dressel 20	((TRIDENTS))	((tridents))	12.483333	41.9	N1 110-120	220	224	Sketch"
"Roma	48848	Dressel 20	((TRIDENTS))	((tridents))	12.483333	41.9	S11 120-140	220	224	Sketch"
"Roma	48849	Dressel 20	((TRIDENTS))	((tridents))	12.483333	41.9	S9 140-160	220	224	Sketch"
"Roma	48850	Dressel 20	((TRIDENTS))	((tridents))	12.483333	41.9	N10 60-80	220	224	Sketch"
"Roma	48851	Dressel 20	((TRIDENTS))	((tridents))	12.483333	41.9	N10 100-120	220	224	Sketch"
"Roma	48852	Dressel 20	((TRIDENTS))	((tridents))	12.483333	41.9	N10 150-170	220	224	Sketch"
"Roma	48853	Dressel 20	((TRIDENTS))	((tridents))	12.483333	41.9	S9 246-260	220	224	Sketch"
"Roma	48854	Dressel 20	((TRIDENTS))	((tridents))	12.483333	41.9	N10 260-280	220	224	Sketch"
"Roma	48855	Dressel 20	((TRIDENTS))	((tridents))	12.483333	41.9	S7 70-90	160	160	Sketch"
"Roma	48856	Dressel 20	((TRIDENTS))	((tridents))	12.483333	41.9	N7 110-130	160	160	Sketch"
"Roma	48857	Dressel 20	((TRIDENTS))	((tridents))	12.483333	41.9	S8 110-130	160	160	Sketch"
"Roma	48858	Dressel 20	((CIRCULUS))	((circulus))	12.483333	41.9	S9 200-220	220	224	Sketch"
"Roma	48859	Dressel 20	((CIRCULUS))	((circulus))	12.483333	41.9	N10 220-240	220	224	Sketch"
"Roma	48860	Dressel 20	((CIRCULUS))	((circulus))	12.483333	41.9	S11 30-40	220	224	Sketch"
"Roma	48861	Dressel 20	((CIRCULUS))	((circulus))	12.483333	41.9	N1 90-110	220	224	Sketch"
"Roma	48862	Dressel 20	((CIRCULUS))	((circulus))	12.483333	41.9	N1 110-120	220	224	Sketch"
"Roma	48863	Dressel 20	((CIRCULUS))	((circulus))	12.483333	41.9	S1 110-120	220	224	Sketch"
